Municipio;Orgao;Item de Despesa;Valor Investido
SAO GONCALO DO PARA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;188.516,99
SAO GONCALO DO PARA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;83.723,65
SAO GONCALO DO PARA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
SAO GONCALO DO PARA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;168.995,00
SAO GONCALO DO PARA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;123.097,80
SAO GONCALO DO PARA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO GONCALO DO RIO ABAIXO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;363.364,56
SAO GONCALO DO RIO ABAIXO;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;39.670,24
SAO GONCALO DO RIO ABAIXO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;20.000,00
SAO GONCALO DO RIO ABAIXO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO GONCALO DO RIO PRETO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;127.033,09
SAO GONCALO DO RIO PRETO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO GONCALO DO SAPUCAI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;97.306,10
SAO GONCALO DO SAPUCAI;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
SAO GONCALO DO SAPUCAI;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
SAO GONCALO DO SAPUCAI;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;115.344,03
SAO GONCALO DO SAPUCAI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;3.884,64
SAO GONCALO DO SAPUCAI;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;23.511,00
SAO GOTARDO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;141.449,98
SAO GOTARDO;FUNDO ESTADUAL DE CULTURA;CONTRIBUICOES;40.000,00
SAO GOTARDO;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;16.781,33
SAO GOTARDO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO GOTARDO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO GOTARDO;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;78.795,00
SAO JOAO BATISTA DO GLORIA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;163.746,76
SAO JOAO BATISTA DO GLORIA;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS DE INFORMATICA;6.600,00
SAO JOAO BATISTA DO GLORIA;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;11.532,00
SAO JOAO BATISTA DO GLORIA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;9.266,50
SAO JOAO BATISTA DO GLORIA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOAO BATISTA DO GLORIA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO JOAO DA LAGOA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;120.099,65
SAO JOAO DA LAGOA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO JOAO DA MATA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;61.460,55
SAO JOAO DA MATA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;36.465,65
SAO JOAO DA MATA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;34.355,74
SAO JOAO DA MATA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO JOAO DA PONTE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;306.211,54
SAO JOAO DA PONTE;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
SAO JOAO DA PONTE;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.049,47
SAO JOAO DA PONTE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOAO DA PONTE;SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL;CONTRIBUICOES;74.653,56
SAO JOAO DA PONTE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;4.855,80
SAO JOAO DA PONTE;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;59.537,00
SAO JOAO DAS MISSOES;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;106.396,19
SAO JOAO DAS MISSOES;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOAO DAS MISSOES;SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE;EXECUCAO DE OBRAS POR CONTRATO DE BENS PATRIMONIAVEIS;37.790,41
SAO JOAO DAS MISSOES;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;83.822,21
SAO JOAO DAS MISSOES;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;8.740,44
SAO JOAO DEL REI;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;52.246,33
SAO JOAO DEL REI;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
SAO JOAO DEL REI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;649.426,69
SAO JOAO DEL REI;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;EQUIPAMENTOS DE INFORMATICA;1.956,00
SAO JOAO DEL REI;FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;MOBILIARIO;3.833,06
SAO JOAO DEL REI;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;AUXILIOS;64.917,30
SAO JOAO DEL REI;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS;CONTRATACAO DE PROJETOS EM PESQUISA DE CIENCIA, INOVACAO E TECNOLOGIA;4.800,00
SAO JOAO DEL REI;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;10.600,00
SAO JOAO DEL REI;FUNDO ESTADUAL DE SAUDE;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS  USO ADMINISTRATIVO;1.877,00
SAO JOAO DEL REI;INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;2.389,00
SAO JOAO DEL REI;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
SAO JOAO DEL REI;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOAO DEL REI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS DE INFORMATICA;498.307,90
SAO JOAO DEL REI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;14.567,40
SAO JOAO DO MANHUACU;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO JOAO DO MANTENINHA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;165.789,82
SAO JOAO DO MANTENINHA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;20.000,00
SAO JOAO DO MANTENINHA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO JOAO DO ORIENTE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;2.089.067,20
SAO JOAO DO ORIENTE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOAO DO ORIENTE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
SAO JOAO DO PACUI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;79.107,62
SAO JOAO DO PACUI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO JOAO DO PARAISO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;180.073,83
SAO JOAO DO PARAISO;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
SAO JOAO DO PARAISO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;MOBILIARIO;3.049,47
SAO JOAO DO PARAISO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOAO DO PARAISO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;5.826,96
SAO JOAO DO PARAISO;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;200.000,00
SAO JOAO EVANGELISTA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;104.492,66
SAO JOAO EVANGELISTA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;222.405,44
SAO JOAO EVANGELISTA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;51.652,84
SAO JOAO EVANGELISTA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;108.000,00
SAO JOAO EVANGELISTA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;4.855,80
SAO JOAO NEPOMUCENO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;207.481,60
SAO JOAO NEPOMUCENO;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;37.438,35
SAO JOAO NEPOMUCENO;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
SAO JOAO NEPOMUCENO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;100.000,00
SAO JOAO NEPOMUCENO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;3.884,64
SAO JOAO NEPOMUCENO;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;192
SAO JOAQUIM DE BICAS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
SAO JOAQUIM DE BICAS;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOAQUIM DE BICAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;3.884,64
SAO JOSE DA BARRA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;7.826,46
SAO JOSE DA BARRA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO JOSE DA BARRA;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;100.000,00
SAO JOSE DA LAPA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;ESTUDOS E PROJETOS DE BENS NAO PATRIMONIAVEIS;298.812,90
SAO JOSE DA LAPA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;259.522,84
SAO JOSE DA LAPA;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;51.888,33
SAO JOSE DA LAPA;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS DE INFORMATICA;6.600,00
SAO JOSE DA LAPA;FUNDO ESTADUAL DE SAUDE;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;11.532,00
SAO JOSE DA LAPA;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;9.266,50
SAO JOSE DA LAPA;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;VEICULOS;61.116,00
SAO JOSE DA LAPA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO JOSE DA SAFIRA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;45.067,32
SAO JOSE DA SAFIRA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO JOSE DA VARGINHA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;146.166,12
SAO JOSE DA VARGINHA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;168.995,00
SAO JOSE DA VARGINHA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO JOSE DO ALEGRE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;11.157,75
SAO JOSE DO ALEGRE;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;30.000,00
SAO JOSE DO ALEGRE;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO JOSE DO DIVINO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;37.111,83
SAO JOSE DO DIVINO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOSE DO DIVINO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO JOSE DO GOIABAL;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;73.909,62
SAO JOSE DO GOIABAL;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOSE DO GOIABAL;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;49.978,24
SAO JOSE DO GOIABAL;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO JOSE DO GOIABAL;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;200.000,00
SAO JOSE DO JACURI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;168.551,44
SAO JOSE DO JACURI;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO JOSE DO JACURI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
SAO JOSE DO MANTIMENTO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;29.862,36
SAO JOSE DO MANTIMENTO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO LOURENCO;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
SAO LOURENCO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;143.868,40
SAO LOURENCO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS PATRIMONIAVEIS;149.912,43
SAO LOURENCO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;415.822,00
SAO LOURENCO;SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL;AUXILIOS;42.224,00
SAO LOURENCO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;95.000,00
SAO LOURENCO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;2.913,48
SAO MIGUEL DO ANTA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;71.383,14
SAO MIGUEL DO ANTA;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;3.400,00
SAO MIGUEL DO ANTA;SECRETARIA DE ESTADO DE EDUCACAO;MOBILIARIO;49.760,00
SAO PEDRO DA UNIAO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;48.435,48
SAO PEDRO DA UNIAO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO PEDRO DA UNIAO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO PEDRO DO SUACUI;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;317.148,62
SAO PEDRO DO SUACUI;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;60.330,51
SAO PEDRO DO SUACUI;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
SAO PEDRO DO SUACUI;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO PEDRO DO SUACUI;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;200.000,00
SAO PEDRO DOS FERROS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;64.689,97
SAO PEDRO DOS FERROS;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;693.565,43
SAO ROMAO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO ROMAO;SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL;CONTRIBUICOES;69.000,00
SAO ROQUE DE MINAS;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;149.357,20
SAO ROQUE DE MINAS;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;1.942,32
SAO SEBASTIAO DA BELA VISTA;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;34.270,56
SAO SEBASTIAO DA BELA VISTA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO SEBASTIAO DA BELA VISTA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO SEBASTIAO DA VARGEM ALEGRE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;24.737,84
SAO SEBASTIAO DA VARGEM ALEGRE;SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL;CONTRIBUICOES;100.000,00
SAO SEBASTIAO DO ANTA;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;121.990,00
SAO SEBASTIAO DO ANTA;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;971,16
SAO SEBASTIAO DO MARANHAO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;81.832,04
SAO SEBASTIAO DO MARANHAO;FUNDO ESTADUAL DE SAUDE;MOBILIARIO;1.190,00
SAO SEBASTIAO DO MARANHAO;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO SEBASTIAO DO MARANHAO;SECRETARIA DE ESTADO DE EDUCACAO;AUXILIOS;60.932,82
SAO SEBASTIAO DO MARANHAO;SECRETARIA DE ESTADO DE EDUCACAO;EQUIPAMENTOS HOSPITALARES, ODONTOLOGICOS E DE LABORATORIO;5.826,96
SAO SEBASTIAO DO MARANHAO;SECRETARIA DE ESTADO DE GOVERNO;AUXILIOS;200.000,00
SAO SEBASTIAO DO OESTE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;51.793,20
SAO SEBASTIAO DO OESTE;FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES;SERVICOS TECN DE IMPLANTACAO GESTAO E ADM DO SIST DE OBSERV ELETRONICA;42.190,32
SAO SEBASTIAO DO OESTE;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;VEICULOS;60.995,00
SAO SEBASTIAO DO OESTE;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;150.287,97
SAO SEBASTIAO DO PARAISO;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;MAQUINAS, APARELHOS, UTENSILIOS E EQUIPAMENTOS DE USO INDUSTRIAL;5.516,00
SAO SEBASTIAO DO PARAISO;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;EXECUCAO DE OBRAS POR CONTRATO DE BENS NAO PATRIMONIAVEIS;115.090,57
